identifier,source,source_id_ref,ui_active_flag,plan,email_present,pedagogical_id_exact_match,pedagogical_rows,firestore_document_verified,canonical_student_id,subscription_id,contract_start,contract_end,cancellation_evidence,operational_eligible
831403888eb65e08,authenticated_ui_export,831403888eb65e08,sim,Diamond,True,True,53,False,,,,,NOT_EXPORTED,UNDETERMINED
e20bb98ff7c469b3,authenticated_ui_export,e20bb98ff7c469b3,sim,Gold,True,True,32,False,,,,,NOT_EXPORTED,UNDETERMINED
d06a9cdb83aa38f4,authenticated_ui_export,d06a9cdb83aa38f4,sim,Diamond,True,True,55,False,,,,,NOT_EXPORTED,UNDETERMINED
7c49d4a94485357d,authenticated_ui_export,7c49d4a94485357d,sim,Gold,True,True,37,False,,,,,NOT_EXPORTED,UNDETERMINED
6c959ab4360d1678,authenticated_ui_export,6c959ab4360d1678,sim,Diamond,True,True,60,False,,,,,NOT_EXPORTED,UNDETERMINED
ee2e09ffcb66026b,authenticated_ui_export,ee2e09ffcb66026b,sim,Turma,True,True,23,False,,,,,NOT_EXPORTED,UNDETERMINED
1169f45ac490b78b,authenticated_ui_export,1169f45ac490b78b,sim,Diamond,True,True,175,False,,,,,NOT_EXPORTED,UNDETERMINED
c7c751042221c78b,authenticated_ui_export,c7c751042221c78b,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
8b37a3455ac87a63,authenticated_ui_export,8b37a3455ac87a63,sim,Gold,True,True,72,False,,,,,NOT_EXPORTED,UNDETERMINED
1c71c2bd24553b5b,authenticated_ui_export,1c71c2bd24553b5b,sim,Diamond,True,True,60,False,,,,,NOT_EXPORTED,UNDETERMINED
a387ebd7543fdd8e,authenticated_ui_export,a387ebd7543fdd8e,sim,Premium,True,True,22,False,,,,,NOT_EXPORTED,UNDETERMINED
b2a480696c760c4b,authenticated_ui_export,b2a480696c760c4b,sim,Diamond,True,True,58,False,,,,,NOT_EXPORTED,UNDETERMINED
b7731a24db20998f,authenticated_ui_export,b7731a24db20998f,sim,Diamond,True,True,67,False,,,,,NOT_EXPORTED,UNDETERMINED
